barrier_id,person_id,transition_id,barrier_type,barrier_text,severity_score
1328,735,1435,Fear of failure,Worried about not succeeding in a new industry.,1
1329,1044,2079,Time limitations,Balancing a full-time job left no time for study.,5
1330,1044,2079,Age-related bias,Felt overlooked due to being older than peers.,2
1331,28,64,Financial constraints,Couldn't afford tuition fees for reskilling.,4
1332,28,64,Time limitations,Balancing a full-time job left no time for study.,1
1333,1264,2511,Family responsibilities,Couldn't attend evening courses due to childcare.,4
1334,1264,2511,Financial constraints,Cost of certification programs was too high.,5
1335,757,1480,Financial constraints,Couldn't afford tuition fees for reskilling.,2
1336,757,1480,Age-related bias,Concerned about competing with younger talent.,5
1337,854,1676,Age-related bias,Felt overlooked due to being older than peers.,2
1338,836,1637,Family responsibilities,Couldn't attend evening courses due to childcare.,3
1339,836,1637,Lack of education,Missing degree was a major hurdle.,2
1340,416,817,Age-related bias,Felt overlooked due to being older than peers.,5
1341,1216,2412,Age-related bias,Felt overlooked due to being older than peers.,4
1342,245,496,Fear of failure,Fear of starting over held me back.,3
1343,245,496,Age-related bias,Felt overlooked due to being older than peers.,2
